short_id,config_id,arch_str,depth,width_sum,activation,optimizer,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0294,64x32_tanh_adam_lr0.001_wd0.001_do0.1_bs32_ns0.05,64x32,2,96,tanh,adam,0.001,0.001,0.1,32,0.05,,,,23.475120554077957,0.5934320320053487,22.567273459630837,0.9078470944471206,86.4,22.814567035621785,24.24681811995012,9.732030153274536
C0050,64_relu_adam_lr0.005_wd0.005_do0.1_bs32_ns0.01,64,1,64,relu,adam,0.005,0.005,0.1,32,0.01,,,,23.476288257890314,1.0268808538890573,22.564984932989756,0.9113033249005582,41.4,22.175708664386516,24.88952890593656,4.213419198989868
C0384,64x32_tanh_nesterov_lr0.01_wd0.001_do0.1_bs32_ns0.05_momentum0.9_nesterovTrue,64x32,2,96,tanh,nesterov,0.01,0.001,0.1,32,0.05,0.9,True,,23.478384434925356,0.5460143518236233,22.669574837221315,0.808809597704041,64.0,22.88494587076089,23.95727666497914,6.259290933609009
C0046,64_relu_adam_lr0.005_wd0.005_do0_bs32_ns0,64,1,64,relu,adam,0.005,0.005,0.0,32,0.0,,,,23.488549358779817,0.873228128556365,22.558494092338027,0.9300552664417907,38.8,22.58485359566742,24.590990680619615,3.641339063644409
C0016,64_relu_adam_lr0.01_wd0.005_do0.2_bs32_ns0,64,1,64,relu,adam,0.01,0.005,0.2,32,0.0,,,,23.5044664385233,0.7469674868478413,22.69637457516075,0.8080918633625487,32.8,22.626189574980298,24.446944997045723,3.449639081954956
C0540,64x64x32_tanh_adam_lr0.005_wd0.005_do0.2_bs32_ns0.05,64x64x32,3,160,tanh,adam,0.005,0.005,0.2,32,0.05,,,,23.50574657954053,0.883942206364856,22.971899259314345,0.5338473202261866,50.0,22.58539429376996,24.9772663283046,8.592840909957886
C0450,64x64x32_relu_adam_lr0.01_wd0.005_do0.2_bs32_ns0.05,64x64x32,3,160,relu,adam,0.01,0.005,0.2,32,0.05,,,,23.510682773143323,0.9147440564707019,23.10001881972674,0.41066395341658435,52.0,22.808744565033727,25.0211266822569,7.873059511184692
C0538,64x64x32_tanh_adam_lr0.005_wd0.005_do0.2_bs32_ns0,64x64x32,3,160,tanh,adam,0.005,0.005,0.2,32,0.0,,,,23.515177586302656,0.7978050147925064,22.912051192050587,0.6031263942520688,40.6,22.64991084168835,24.820215806114913,7.3990843296051025
C0449,64x64x32_relu_adam_lr0.01_wd0.005_do0.2_bs32_ns0.01,64x64x32,3,160,relu,adam,0.01,0.005,0.2,32,0.01,,,,23.516908015479327,0.836339380743385,23.101402474804054,0.415505540675273,50.8,22.940742617886748,24.943022132720518,7.652973651885986
C0238,64x32_relu_adam_lr0.001_wd0.001_do0.1_bs32_ns0,64x32,2,96,relu,adam,0.001,0.001,0.1,32,0.0,,,,23.518228805864688,0.9648461569069398,22.656946800809852,0.8612820050548358,74.2,22.173355436193727,24.8237713219812,8.445203065872192
